time_stamp,sitting,standing,walking,grazing,x_0,x_29,x_59,x_89,x_119,x_149,x_179,x_209,x_239,x_269,y_0,y_29,y_59,y_89,y_119,y_149,y_179,y_209,y_239,y_269,z_0,z_29,z_59,z_89,z_119,z_149,z_179,z_209,z_239,z_269
2019-02-04T18:09:03,0,1,0,0,-0.156,-0.156,-0.16,-0.164,-0.156,-0.164,-0.152,-0.16,-0.172,-0.172,0.816,0.797,0.805,0.801,0.805,0.801,0.813,0.813,0.805,0.813,0.57,0.57,0.574,0.574,0.574,0.57,0.578,0.578,0.57,0.578
2019-02-04T18:09:13,0,1,0,0,-0.164,-0.168,-0.156,-0.211,-0.176,-0.164,-0.168,-0.172,-0.152,-0.152,0.813,0.813,0.816,0.816,0.813,0.805,0.793,0.813,0.801,0.801,0.57,0.574,0.574,0.57,0.57,0.566,0.566,0.57,0.578,0.57
2019-02-04T18:09:23,0,1,0,0,-0.156,-0.082,-0.113,-0.117,-0.125,-0.141,-0.148,-0.145,-0.148,-0.137,0.816,0.84,0.828,0.828,0.828,0.82,0.828,0.82,0.824,0.832,0.574,0.527,0.551,0.531,0.535,0.535,0.551,0.535,0.539,0.547
2019-02-04T18:09:33,0,1,0,0,-0.133,-0.176,-0.16,-0.16,-0.176,-0.18,-0.145,-0.145,-0.141,-0.152,0.852,0.797,0.789,0.809,0.77,0.758,0.809,0.813,0.801,0.809,0.527,0.594,0.582,0.563,0.633,0.613,0.578,0.57,0.578,0.586
2019-02-04T18:09:43,0,1,0,0,-0.145,-0.137,-0.137,-0.152,-0.156,-0.172,-0.121,-0.152,-0.148,-0.172,0.813,0.801,0.801,0.805,0.801,0.793,0.813,0.805,0.797,0.82,0.582,0.598,0.582,0.594,0.586,0.59,0.574,0.582,0.574,0.594
2019-02-04T18:09:53,0,1,0,0,-0.152,-0.148,-0.145,-0.141,-0.145,-0.133,-0.137,-0.133,-0.137,-0.125,0.805,0.781,0.793,0.789,0.805,0.793,0.801,0.793,0.793,0.789,0.574,0.578,0.586,0.594,0.602,0.59,0.598,0.586,0.586,0.582
2019-02-04T18:10:03,0,1,0,0,-0.137,-0.129,-0.133,-0.133,-0.141,-0.141,-0.152,-0.176,-0.074,-0.09,0.813,0.813,0.801,0.809,0.805,0.801,0.805,0.754,0.699,0.762,0.586,0.59,0.594,0.598,0.598,0.586,0.578,0.684,0.684,0.637
2019-02-04T18:10:13,0,1,0,0,-0.023,0.086,-0.027,-0.047,-0.066,-0.078,-0.105,-0.109,-0.078,-0.082,0.824,0.836,0.801,0.797,0.797,0.793,0.813,0.801,0.801,0.805,0.625,0.605,0.598,0.59,0.59,0.582,0.582,0.586,0.574,0.594
2019-02-04T18:10:23,0,1,1,0,-0.074,-0.078,-0.074,-0.074,-0.055,-0.043,-0.035,-0.051,0.074,-0.004,0.82,0.801,0.801,0.801,0.797,0.809,0.801,0.824,0.785,0.789,0.598,0.594,0.602,0.594,0.586,0.574,0.578,0.563,0.461,0.594
2019-02-04T18:10:33,0,1,0,0,-0.035,0.004,-0.094,0.02,-0.004,-0.176,-0.16,-0.148,-0.148,-0.156,0.801,0.84,0.984,0.797,0.809,0.75,0.781,0.781,0.789,0.793,0.551,0.527,0.66,0.582,0.586,0.648,0.609,0.594,0.598,0.594
