time_stamp,x,y,z,sitting,standing,walking,grazing,z_score_x,z_score_y,z_score_z
2018-12-10 13:53:19,-0.125,0.859,0.445,0,1,0,0,-1.046,0.626,0.017
2018-12-10 13:53:20,-0.125,0.871,0.449,0,1,0,0,-1.046,0.691,0.045
2018-12-10 13:53:21,-0.129,0.863,0.43,0,1,0,0,-1.056,0.648,-0.088
2018-12-10 13:53:22,-0.105,0.867,0.445,0,1,0,0,-0.995,0.669,0.017
2018-12-10 13:53:23,-0.098,0.855,0.465,0,1,0,0,-0.977,0.605,0.157
2018-12-10 13:53:24,-0.133,0.852,0.465,0,1,0,0,-1.066,0.588,0.157
2018-12-10 13:53:25,-0.129,0.863,0.473,0,1,0,0,-1.056,0.648,0.213
2018-12-10 13:53:26,-0.117,0.871,0.465,0,1,0,0,-1.026,0.691,0.157
2018-12-10 13:53:27,-0.121,0.879,0.469,0,1,0,0,-1.036,0.734,0.185
2018-12-10 13:53:28,-0.098,0.883,0.473,0,1,0,0,-0.977,0.755,0.213
2018-12-10 13:53:29,-0.078,0.875,0.465,0,1,0,0,-0.926,0.712,0.157
2018-12-10 13:53:30,-0.105,0.879,0.469,0,1,0,0,-0.995,0.734,0.185
2018-12-10 13:53:31,-0.086,0.875,0.449,0,1,0,0,-0.947,0.712,0.045
2018-12-10 13:53:32,-0.078,0.887,0.48,0,1,0,0,-0.926,0.777,0.262
2018-12-10 13:53:33,-0.07,0.867,0.453,0,1,0,0,-0.906,0.669,0.073
2018-12-10 13:53:34,-0.094,0.867,0.453,0,1,0,0,-0.967,0.669,0.073
2018-12-10 13:53:35,-0.082,0.859,0.461,0,1,0,0,-0.937,0.626,0.129
2018-12-10 13:53:36,-0.059,0.859,0.453,0,1,0,0,-0.878,0.626,0.073
2018-12-10 13:53:37,-0.09,0.867,0.461,0,1,0,0,-0.957,0.669,0.129
2018-12-10 13:53:38,-0.07,0.883,0.473,0,1,0,0,-0.906,0.755,0.213
2018-12-10 13:53:39,-0.062,0.883,0.488,0,1,0,0,-0.886,0.755,0.318
2018-12-10 13:53:40,-0.059,0.883,0.473,0,1,0,0,-0.878,0.755,0.213
2018-12-10 13:53:41,-0.094,0.867,0.473,0,1,0,0,-0.967,0.669,0.213
2018-12-10 13:53:42,-0.086,0.852,0.457,0,1,0,0,-0.947,0.588,0.101
2018-12-10 13:53:43,-0.199,0.883,0.496,0,1,0,0,-1.234,0.755,0.374
2018-12-10 13:53:44,-0.254,0.863,0.445,0,1,0,0,-1.374,0.648,0.017
2018-12-10 13:53:45,-0.297,0.828,0.449,0,1,0,0,-1.483,0.46,0.045
2018-12-10 13:53:46,-0.406,0.813,0.379,0,1,0,0,-1.761,0.379,-0.445
