time_stamp,x,y,z,sitting,standing,walking,grazing
2018-12-10 13:55:40,-0.121,0.887,0.434,0,1,0,0
2018-12-10 13:55:41,-0.125,0.875,0.418,0,1,0,0
2018-12-10 13:55:42,-0.148,0.887,0.426,0,1,0,0
2018-12-10 13:55:43,-0.16,0.863,0.418,0,1,0,0
2018-12-10 13:55:44,-0.148,0.816,0.465,0,1,0,0
2018-12-10 13:55:45,-0.051,0.723,0.316,0,1,0,0
2018-12-10 13:55:46,-0.184,0.879,0.434,0,1,0,0
2018-12-10 13:55:47,-0.125,0.875,0.41,0,1,0,0
2018-12-10 13:55:48,-0.062,0.977,0.516,0,1,0,0
2018-12-10 13:55:49,-0.145,0.898,0.402,0,1,0,0
2018-12-10 13:55:50,-0.094,0.914,0.387,0,1,0,0
2018-12-10 13:55:51,-0.094,0.801,0.43,0,1,0,0
2018-12-10 13:55:52,-0.016,0.914,0.445,0,1,0,0
2018-12-10 13:55:53,0.238,0.805,0.453,0,1,0,0
2018-12-10 13:55:54,0.191,0.633,0.656,0,1,0,0
2018-12-10 13:55:55,-0.086,0.945,0.496,0,1,0,0
2018-12-10 13:55:56,-0.051,0.938,0.234,0,1,0,0
2018-12-10 13:55:57,-0.184,0.766,0.387,0,1,0,0
2018-12-10 13:55:58,-0.215,0.922,0.391,0,1,0,0
2018-12-10 13:55:59,-0.18,0.895,0.32,0,1,0,0
2018-12-10 13:56:00,-0.207,0.828,0.41,0,1,0,0
2018-12-10 13:56:01,-0.184,0.891,0.367,0,1,0,0
2018-12-10 13:56:02,-0.027,0.828,0.332,0,1,0,0
2018-12-10 13:56:03,-0.234,0.781,0.406,0,1,0,0
2018-12-10 13:56:04,-0.187,0.969,0.402,0,1,0,0
2018-12-10 13:56:05,-0.191,0.852,0.414,0,1,0,0
2018-12-10 13:56:06,-0.187,1.086,0.469,0,1,0,0
2018-12-10 13:56:07,-0.25,0.926,0.348,0,1,0,0
2018-12-10 13:56:08,-0.141,1.0,0.461,0,1,0,0
2018-12-10 13:56:09,-0.238,0.945,0.348,0,1,0,0
2018-12-10 13:56:10,-0.297,1.027,0.492,0,1,0,0
2018-12-10 13:56:11,-0.18,0.957,0.344,0,1,0,0
2018-12-10 13:56:12,-0.164,0.922,0.375,0,1,0,0
2018-12-10 13:56:13,-0.129,0.883,0.355,0,1,0,0
2018-12-10 13:56:14,-0.133,0.93,0.375,0,1,0,0
2018-12-10 13:56:15,-0.152,0.883,0.387,0,1,0,0
2018-12-10 13:56:16,-0.133,0.902,0.391,0,1,0,0
2018-12-10 13:56:17,-0.156,0.859,0.379,0,1,0,0
2018-12-10 13:56:18,-0.148,0.91,0.387,0,1,0,0
2018-12-10 13:56:19,-0.16,0.906,0.41,0,1,0,0
2018-12-10 13:56:20,-0.145,0.848,0.383,0,1,0,0
2018-12-10 13:56:21,-0.195,0.953,0.379,0,1,0,0
2018-12-10 13:56:22,-0.156,0.91,0.398,0,1,0,0
2018-12-10 13:56:23,-0.148,0.895,0.367,0,1,0,0
2018-12-10 13:56:24,-0.18,0.941,0.383,0,1,0,0
2018-12-10 13:56:25,-0.172,0.918,0.391,0,1,0,0
2018-12-10 13:56:26,-0.164,0.906,0.406,0,1,0,0
2018-12-10 13:56:27,-0.168,0.91,0.41,0,1,0,0
2018-12-10 13:56:28,-0.172,0.914,0.398,0,1,0,0
2018-12-10 13:56:29,-0.168,0.906,0.387,0,1,0,0
2018-12-10 13:56:30,-0.172,0.883,0.406,0,1,0,0
2018-12-10 13:56:31,-0.156,0.883,0.414,0,1,0,0
2018-12-10 13:56:32,-0.137,0.902,0.402,0,1,0,0
2018-12-10 13:56:33,-0.027,0.898,0.289,0,1,0,0
2018-12-10 13:56:34,-0.031,0.945,0.516,0,1,0,0
2018-12-10 13:56:35,-0.09,0.785,0.59,0,1,0,0
2018-12-10 13:56:36,0.113,0.625,-0.07,0,1,0,0
2018-12-10 13:56:37,0.254,0.852,0.402,0,1,0,0
2018-12-10 13:56:38,0.477,0.836,0.504,0,1,0,0
