x,y,z,sitting,standing,walking,grazing
-0.211,0.922,0.418,0,1,0,0
-0.199,0.906,0.352,0,1,0,0
-0.156,0.973,0.512,0,1,0,0
-0.234,0.844,0.391,0,1,0,0
-0.223,0.859,0.395,0,1,0,0
-0.219,0.891,0.402,0,1,0,0
-0.207,0.895,0.418,0,1,0,0
-0.223,0.855,0.398,0,1,0,0
-0.223,0.906,0.41,0,1,0,0
-0.207,0.918,0.41,0,1,0,0
-0.203,0.926,0.398,0,1,0,0
-0.172,0.879,0.391,0,1,0,0
-0.09,0.898,0.434,0,1,0,0
-0.125,0.871,0.445,0,1,0,0
-0.133,0.887,0.434,0,1,0,0
-0.047,0.922,0.434,0,1,0,0
-0.059,0.91,0.441,0,1,0,0
-0.047,0.91,0.477,0,1,0,0
-0.137,0.816,0.531,0,1,0,0
-0.148,0.82,0.504,0,1,0,0
-0.184,0.848,0.496,0,1,0,0
-0.16,0.891,0.453,0,1,0,0
-0.164,0.879,0.441,0,1,0,0
-0.172,0.879,0.438,0,1,0,0
-0.07,0.891,0.449,0,1,0,0
-0.086,0.863,0.449,0,1,0,0
-0.078,0.887,0.445,0,1,0,0
-0.121,0.883,0.449,0,1,0,0
-0.109,0.836,0.488,0,1,0,0
-0.129,0.879,0.441,0,1,0,0
-0.16,0.871,0.445,0,1,0,0
-0.129,0.902,0.445,0,1,0,0
-0.133,0.895,0.426,0,1,0,0
-0.121,0.887,0.434,0,1,0,0
-0.125,0.875,0.418,0,1,0,0
-0.148,0.887,0.426,0,1,0,0
-0.16,0.863,0.418,0,1,0,0
-0.148,0.816,0.465,0,1,0,0
-0.051,0.723,0.316,0,1,0,0
-0.184,0.879,0.434,0,1,0,0
-0.125,0.875,0.41,0,1,0,0
-0.062,0.977,0.516,0,1,0,0
-0.145,0.898,0.402,0,1,0,0
-0.094,0.914,0.387,0,1,0,0
-0.094,0.801,0.43,0,1,0,0
-0.016,0.914,0.445,0,1,0,0
0.238,0.805,0.453,0,1,0,0
0.191,0.633,0.656,0,1,0,0
-0.086,0.945,0.496,0,1,0,0
-0.051,0.938,0.234,0,1,0,0
-0.184,0.766,0.387,0,1,0,0
-0.215,0.922,0.391,0,1,0,0
-0.18,0.895,0.32,0,1,0,0
-0.207,0.828,0.41,0,1,0,0
-0.184,0.891,0.367,0,1,0,0
-0.027,0.828,0.332,0,1,0,0
-0.234,0.781,0.406,0,1,0,0
-0.187,0.969,0.402,0,1,0,0
-0.191,0.852,0.414,0,1,0,0
-0.187,1.086,0.469,0,1,0,0
-0.25,0.926,0.348,0,1,0,0
-0.141,1.0,0.461,0,1,0,0
-0.238,0.945,0.348,0,1,0,0
-0.297,1.027,0.492,0,1,0,0
-0.18,0.957,0.344,0,1,0,0
-0.164,0.922,0.375,0,1,0,0
-0.129,0.883,0.355,0,1,0,0
-0.133,0.93,0.375,0,1,0,0
-0.152,0.883,0.387,0,1,0,0
-0.133,0.902,0.391,0,1,0,0
-0.156,0.859,0.379,0,1,0,0
-0.148,0.91,0.387,0,1,0,0
-0.16,0.906,0.41,0,1,0,0
-0.145,0.848,0.383,0,1,0,0
-0.195,0.953,0.379,0,1,0,0
-0.156,0.91,0.398,0,1,0,0
-0.148,0.895,0.367,0,1,0,0
-0.18,0.941,0.383,0,1,0,0
-0.172,0.918,0.391,0,1,0,0
-0.164,0.906,0.406,0,1,0,0
-0.168,0.91,0.41,0,1,0,0
-0.172,0.914,0.398,0,1,0,0
